Attempt;Proto;Time;KBytes;Kbits/sec
1;TCP;1.0;2328;19071;
1;TCP;2.0;2176;17826;
1;TCP;3.0;2168;17760;
1;TCP;4.0;2224;18219;
1;TCP;5.0;2280;18678;
1;TCP;6.0;2240;18350;
1;TCP;7.0;2136;17498;
1;TCP;8.0;2144;17564;
1;TCP;9.0;2256;18481;
1;TCP;10.0;2224;18219;
1;TCP;11.0;2064;16908;
1;TCP;12.0;2192;17957;
1;TCP;13.0;2248;18416;
1;TCP;14.0;2256;18481;
1;TCP;15.0;2264;18547;
1;TCP;16.0;2232;18285;
1;TCP;17.0;2160;17695;
1;TCP;18.0;2240;18350;
1;TCP;19.0;2136;17498;
1;TCP;20.0;2240;18350;
2;TCP;1.0;2272;18612;
2;TCP;2.0;2216;18153;
2;TCP;3.0;2208;18088;
2;TCP;4.0;2200;18022;
2;TCP;5.0;2264;18547;
2;TCP;6.0;2296;18809;
2;TCP;7.0;2256;18481;
2;TCP;8.0;2200;18022;
2;TCP;9.0;2184;17891;
2;TCP;10.0;2232;18285;
2;TCP;11.0;2184;17891;
2;TCP;12.0;2216;18153;
2;TCP;13.0;2232;18285;
2;TCP;14.0;2240;18350;
2;TCP;15.0;2296;18809;
2;TCP;16.0;2216;18153;
2;TCP;17.0;2160;17695;
2;TCP;18.0;2304;18874;
2;TCP;19.0;2160;17695;
2;TCP;20.0;2288;18743;
3;TCP;1.0;2224;18219;
3;TCP;2.0;2176;17826;
3;TCP;3.0;2264;18547;
3;TCP;4.0;2264;18547;
3;TCP;5.0;2304;18874;
3;TCP;6.0;2232;18285;
3;TCP;7.0;2224;18219;
3;TCP;8.0;2184;17891;
3;TCP;9.0;2312;18940;
3;TCP;10.0;2232;18285;
3;TCP;11.0;2072;16974;
3;TCP;12.0;2224;18219;
3;TCP;13.0;2288;18743;
3;TCP;14.0;2344;19202;
3;TCP;15.0;2248;18416;
3;TCP;16.0;2216;18153;
3;TCP;17.0;2256;18481;
3;TCP;18.0;2208;18088;
3;TCP;19.0;2240;18350;
3;TCP;20.0;2168;17760;
4;UDP;1.0;3244;26578;
4;UDP;2.0;3117;25531;
4;UDP;3.0;3063;25096;
4;UDP;4.0;3141;25731;
4;UDP;5.0;3140;25719;
4;UDP;6.0;3249;26613;
4;UDP;7.0;3346;27413;
4;UDP;8.0;3365;27565;
4;UDP;9.0;3428;28083;
4;UDP;10.0;3457;28318;
4;UDP;11.0;3335;27318;
4;UDP;12.0;3397;27824;
4;UDP;13.0;3398;27836;
4;UDP;14.0;3363;27554;
4;UDP;15.0;3425;28059;
4;UDP;16.0;3440;28177;
4;UDP;17.0;3374;27636;
4;UDP;18.0;3440;28177;
4;UDP;19.0;3366;27577;
4;UDP;20.0;3447;28236;
5;UDP;1.0;3655;29941;
5;UDP;2.0;3346;27413;
5;UDP;3.0;3451;28271;
5;UDP;4.0;3349;27436;
5;UDP;5.0;3408;27918;
5;UDP;6.0;3375;27648;
5;UDP;7.0;3363;27554;
5;UDP;8.0;3348;27424;
5;UDP;9.0;3343;27389;
5;UDP;10.0;3353;27471;
5;UDP;11.0;3310;27119;
5;UDP;12.0;3353;27471;
5;UDP;13.0;3352;27460;
5;UDP;14.0;3352;27460;
5;UDP;15.0;3353;27471;
5;UDP;16.0;3264;26742;
5;UDP;17.0;3114;25507;
5;UDP;18.0;3353;27471;
5;UDP;19.0;3352;27460;
5;UDP;20.0;3368;27589;
6;UDP;1.0;3744;30670;
6;UDP;2.0;3358;27507;
6;UDP;3.0;3346;27413;
6;UDP;4.0;3397;27824;
6;UDP;5.0;3440;28177;
6;UDP;6.0;3409;27930;
6;UDP;7.0;3404;27883;
6;UDP;8.0;3287;26930;
6;UDP;9.0;3353;27471;
6;UDP;10.0;3451;28271;
6;UDP;11.0;3349;27436;
6;UDP;12.0;3450;28259;
6;UDP;13.0;3310;27119;
6;UDP;14.0;3285;26907;
6;UDP;15.0;3333;27307;
6;UDP;16.0;3363;27554;
6;UDP;17.0;3348;27424;
6;UDP;18.0;3454;28295;
6;UDP;19.0;3345;27401;
6;UDP;20.0;3450;28259;
